"","age","rater","group","stimulus","phase","day","sex","trial","effort","corr"
"236","M72",13,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"237","M72",13,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"238","M72",13,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"239","M72",13,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"240","M72",13,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"241","M72",2,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,1
"242","M72",2,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,1,1
"243","M72",2,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"244","M72",2,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"245","M72",2,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"246","M72",2,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"247","M72",3,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,0
"248","M72",3,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,0
"249","M72",3,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"250","M72",3,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"251","M72",3,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,1
"252","M72",3,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,0,1
"253","M72",4,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,1
"254","M72",4,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"255","M72",4,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,1
"256","M72",4,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"257","M72",4,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"258","M72",4,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,0,1
